equipe,posicao,pontos,data
McLaren,1,460,2025-07-12
Ferrari,2,222,2025-07-12
Mercedes,3,210,2025-07-12
Red Bull,4,172,2025-07-12
Williams,5,59,2025-07-12
Sauber,6,41,2025-07-12
Racing Bulls,7,36,2025-07-12
Aston Martin,8,36,2025-07-12
Haas,9,29,2025-07-12
Alpine,10,19,2025-07-12
McLaren,1,460,2025-07-12
Ferrari,2,222,2025-07-12
Mercedes,3,210,2025-07-12
Red Bull,4,172,2025-07-12
Williams,5,59,2025-07-12
Sauber,6,41,2025-07-12
Racing Bulls,7,36,2025-07-12
Aston Martin,8,36,2025-07-12
Haas,9,29,2025-07-12
Alpine,10,19,2025-07-12
